elapsed time,receive time,header.stamp,topic,value
0,1683328507.272831786,,/commands/motor/speed.data,0
0.04989566,1683328507.322727446,,/commands/motor/speed.data,0
0.103158605,1683328507.375990391,,/commands/motor/speed.data,0
0.1561915,1683328507.429023286,,/commands/motor/speed.data,0
0.21217897300000002,1683328507.485010759,,/commands/motor/speed.data,0
0.263653587,1683328507.536485373,,/commands/motor/speed.data,0
0.315565676,1683328507.588397462,,/commands/motor/speed.data,0
0.366168733,1683328507.639000519,,/commands/motor/speed.data,0
0.41979865600000005,1683328507.692630442,,/commands/motor/speed.data,0
0.4684401,1683328507.741271886,,/commands/motor/speed.data,0
0.5210707210000001,1683328507.793902507,,/commands/motor/speed.data,0
0.5739392320000001,1683328507.846771018,,/commands/motor/speed.data,0
0.624010669,1683328507.896842455,,/commands/motor/speed.data,0
0.6770486530000001,1683328507.949880439,,/commands/motor/speed.data,0
0.727870943,1683328508.000702729,,/commands/motor/speed.data,0
0.779735575,1683328508.052567361,,/commands/motor/speed.data,0
0.8317390560000001,1683328508.104570842,,/commands/motor/speed.data,0
0.877726981,1683328508.150558767,,/commands/motor/speed.data,0
0.935273087,1683328508.208104873,,/commands/motor/speed.data,0
0.986809781,1683328508.259641567,,/commands/motor/speed.data,0
1.193065263,1683328508.465897049,,/commands/motor/speed.data,7500
1.2406611650000001,1683328508.513492951,,/commands/motor/speed.data,7500
1.293147465,1683328508.565979251,,/commands/motor/speed.data,7500
1.343959323,1683328508.616791109,,/commands/motor/speed.data,7500
1.396563384,1683328508.669395170,,/commands/motor/speed.data,7500
1.447280713,1683328508.720112499,,/commands/motor/speed.data,7500
1.49931213,1683328508.772143916,,/commands/motor/speed.data,7500
1.552242529,1683328508.825074315,,/commands/motor/speed.data,7500
1.600456611,1683328508.873288397,,/commands/motor/speed.data,7500
1.652379324,1683328508.925211110,,/commands/motor/speed.data,7500
1.7035036,1683328508.976335386,,/commands/motor/speed.data,7500
1.755482152,1683328509.028313938,,/commands/motor/speed.data,7500
1.8069141420000001,1683328509.079745928,,/commands/motor/speed.data,7500
1.8585168520000002,1683328509.131348638,,/commands/motor/speed.data,7500
1.9103714040000002,1683328509.183203190,,/commands/motor/speed.data,7500
1.9619481950000002,1683328509.234779981,,/commands/motor/speed.data,26250
2.013508697,1683328509.286340483,,/commands/motor/speed.data,26250
2.066133846,1683328509.338965632,,/commands/motor/speed.data,26250
2.117414922,1683328509.390246708,,/commands/motor/speed.data,26250
2.169457828,1683328509.442289614,,/commands/motor/speed.data,26250
2.21979509,1683328509.492626876,,/commands/motor/speed.data,26250
2.272624944,1683328509.545456730,,/commands/motor/speed.data,26250
2.322946079,1683328509.595777865,,/commands/motor/speed.data,26250
2.374669814,1683328509.647501600,,/commands/motor/speed.data,26250
2.426740208,1683328509.699571994,,/commands/motor/speed.data,26250
2.477262624,1683328509.750094410,,/commands/motor/speed.data,26250
2.528591765,1683328509.801423551,,/commands/motor/speed.data,26250
2.580101643,1683328509.852933429,,/commands/motor/speed.data,26250
2.632407813,1683328509.905239599,,/commands/motor/speed.data,26250
2.6830997659999998,1683328509.955931552,,/commands/motor/speed.data,26250
2.735687763,1683328510.008519549,,/commands/motor/speed.data,48750
2.7832728490000003,1683328510.056104635,,/commands/motor/speed.data,48750
2.832351672,1683328510.105183458,,/commands/motor/speed.data,48750
2.882831624,1683328510.155663410,,/commands/motor/speed.data,48750
2.9333353200000003,1683328510.206167106,,/commands/motor/speed.data,48750
2.989396265,1683328510.262228051,,/commands/motor/speed.data,48750
3.042638729,1683328510.315470515,,/commands/motor/speed.data,48750
3.093330426,1683328510.366162212,,/commands/motor/speed.data,48750
3.143067941,1683328510.415899727,,/commands/motor/speed.data,48750
3.196885257,1683328510.469717043,,/commands/motor/speed.data,48750
3.246149969,1683328510.518981755,,/commands/motor/speed.data,48750
3.299175504,1683328510.572007290,,/commands/motor/speed.data,48750
3.350866599,1683328510.623698385,,/commands/motor/speed.data,48750
3.400755987,1683328510.673587773,,/commands/motor/speed.data,48750
3.451791302,1683328510.724623088,,/commands/motor/speed.data,48750
3.506627536,1683328510.779459322,,/commands/motor/speed.data,48750
