elapsed time,receive time,header.stamp,topic,value
9.793302632,1683148749.913748463,,/pitch_error.data,-0.47888243198394775
9.809355668,1683148749.929801499,,/pitch_error.data,-0.4580557346343994
9.828270199,1683148749.948716030,,/pitch_error.data,-0.42109984159469604
9.851912532,1683148749.972358363,,/pitch_error.data,-0.38398364186286926
9.867911609,1683148749.988357440,,/pitch_error.data,-0.35461491346359253
9.892782952,1683148750.013228783,,/pitch_error.data,-0.32198405265808105
9.908508905,1683148750.028954736,,/pitch_error.data,-0.2772649824619293
9.927908611,1683148750.048354442,,/pitch_error.data,-0.23750993609428406
9.948328504,1683148750.068774335,,/pitch_error.data,-0.1985824555158615
9.96812781,1683148750.088573641,,/pitch_error.data,-0.14893569052219388
9.992850972,1683148750.113296803,,/pitch_error.data,-0.11698894202709198
10.011842181,1683148750.132288012,,/pitch_error.data,-0.08719638735055925
10.029663617,1683148750.150109448,,/pitch_error.data,-0.044582728296518326
10.051611566,1683148750.172057397,,/pitch_error.data,-0.014038837514817715
10.068824993,1683148750.189270824,,/pitch_error.data,0.015436314046382904
10.08814709,1683148750.208592921,,/pitch_error.data,0.05399204045534134
