elapsed time,receive time,header.stamp,topic,value
10.346525807,1683148284.138032468,,/pitch_error.data,-0.45572859048843384
10.362000185,1683148284.153506846,,/pitch_error.data,-0.4210333228111267
10.382598449,1683148284.174105110,,/pitch_error.data,-0.3842901885509491
10.402641991,1683148284.194148652,,/pitch_error.data,-0.34617680311203003
10.419842997,1683148284.211349658,,/pitch_error.data,-0.2920213043689728
10.443608437,1683148284.235115098,,/pitch_error.data,-0.24704311788082123
10.460352674,1683148284.251859335,,/pitch_error.data,-0.2066076546907425
10.485121669,1683148284.276628330,,/pitch_error.data,-0.16441239416599274
10.500264814,1683148284.291771475,,/pitch_error.data,-0.11410750448703766
10.520832645,1683148284.312339306,,/pitch_error.data,-0.0752849727869034
10.54505479,1683148284.336561451,,/pitch_error.data,-0.03459383547306061
10.563499896,1683148284.355006557,,/pitch_error.data,0.01192922331392765
10.58182049,1683148284.373327151,,/pitch_error.data,0.05220772325992584
10.5961796,1683148284.387686261,,/pitch_error.data,0.0835278183221817
10.618517004000001,1683148284.410023665,,/pitch_error.data,0.13168290257453918
10.635521402,1683148284.427028063,,/pitch_error.data,0.16775555908679965
10.663322789,1683148284.454829450,,/pitch_error.data,0.20628614723682404
10.682975226,1683148284.474481887,,/pitch_error.data,0.252017080783844
10.703807442,1683148284.495314103,,/pitch_error.data,0.2897388041019439
10.720930784,1683148284.512437445,,/pitch_error.data,0.3287980258464813
