elapsed time,receive time,header.stamp,topic,value
6.252657342,1683148493.352362763,,/pitch_error.data,-0.49535638093948364
6.273691791,1683148493.373397212,,/pitch_error.data,-0.5181505680084229
6.293052796,1683148493.392758217,,/pitch_error.data,-0.4973808526992798
6.31381246,1683148493.413517881,,/pitch_error.data,-0.4685545563697815
6.332053558,1683148493.431758979,,/pitch_error.data,-0.4249099791049957
6.352300133,1683148493.452005554,,/pitch_error.data,-0.3702901601791382
6.372102483,1683148493.471807904,,/pitch_error.data,-0.3253776729106903
6.392732707,1683148493.492438128,,/pitch_error.data,-0.2786778509616852
6.412142576,1683148493.511847997,,/pitch_error.data,-0.21627481281757355
6.432187006,1683148493.531892427,,/pitch_error.data,-0.17390109598636627
6.456698007,1683148493.556403428,,/pitch_error.data,-0.12872937321662903
6.475752451,1683148493.575457872,,/pitch_error.data,-0.07671224325895308
6.494954384,1683148493.594659805,,/pitch_error.data,-0.03690605238080025
6.517115875,1683148493.616821296,,/pitch_error.data,0.000050592367188073695
6.531567204,1683148493.631272625,,/pitch_error.data,0.04996271803975105
6.556518014,1683148493.656223435,,/pitch_error.data,0.0846138596534729
6.572824004,1683148493.672529425,,/pitch_error.data,0.12479563802480698
6.592658674,1683148493.692364095,,/pitch_error.data,0.1730346381664276
6.612188575,1683148493.711893996,,/pitch_error.data,0.20908689498901367
6.631986061,1683148493.731691482,,/pitch_error.data,0.24316734075546265
6.657626569,1683148493.757331990,,/pitch_error.data,0.28350263833999634
6.675152561,1683148493.774857982,,/pitch_error.data,0.3181889057159424
6.696630307,1683148493.796335728,,/pitch_error.data,0.35140395164489746
6.715901648,1683148493.815607069,,/pitch_error.data,0.39674317836761475
