elapsed time,receive time,header.stamp,topic,value
2.875680606,1683484690.548675219,1683484690.547524581,/drive.drive.speed,1
2.875777055,1683484690.548771668,1683484690.547927658,/drive.drive.speed,1
2.875825504,1683484690.548820117,1683484690.548165965,/drive.drive.speed,1
2.896060754,1683484690.569055367,1683484690.568476576,/drive.drive.speed,1
2.949120524,1683484690.622115137,1683484690.620354252,/drive.drive.speed,1
3.000982777,1683484690.673977390,1683484690.671962166,/drive.drive.speed,1
3.055131488,1683484690.728126101,1683484690.723087833,/drive.drive.speed,1
3.103388098,1683484690.776382711,1683484690.774446751,/drive.drive.speed,1
3.155680083,1683484690.828674696,1683484690.826886387,/drive.drive.speed,1
3.207788578,1683484690.880783191,1683484690.878350778,/drive.drive.speed,1
3.259386476,1683484690.932381089,1683484690.930074757,/drive.drive.speed,1
3.310871859,1683484690.983866472,1683484690.981372715,/drive.drive.speed,1
3.361705653,1683484691.034700266,1683484691.033080663,/drive.drive.speed,1
3.41366503,1683484691.086659643,1683484691.084620323,/drive.drive.speed,1
3.465329203,1683484691.138323816,1683484691.136690357,/drive.drive.speed,1
3.516369497,1683484691.189364110,1683484691.187513400,/drive.drive.speed,1
3.567667266,1683484691.240661879,1683484691.238774816,/drive.drive.speed,1
3.619351119,1683484691.292345732,1683484691.290292908,/drive.drive.speed,1
3.671179455,1683484691.344174068,1683484691.342020410,/drive.drive.speed,1
3.722862508,1683484691.395857121,1683484691.393279618,/drive.drive.speed,1
3.774532377,1683484691.447526990,1683484691.445149010,/drive.drive.speed,3.5
3.825325116,1683484691.498319729,1683484691.496288345,/drive.drive.speed,3.5
3.876827015,1683484691.549821628,1683484691.547871205,/drive.drive.speed,3.5
3.928596566,1683484691.601591179,1683484691.598842922,/drive.drive.speed,3.5
3.977950119,1683484691.650944732,1683484691.650259156,/drive.drive.speed,3.5
4.027911008,1683484691.700905621,1683484691.700338350,/drive.drive.speed,3.5
4.078632834,1683484691.751627447,1683484691.750974063,/drive.drive.speed,3.5
4.129230531,1683484691.802225144,1683484691.801678609,/drive.drive.speed,3.5
4.183864819,1683484691.856859432,1683484691.854145800,/drive.drive.speed,3.5
4.236386347,1683484691.909380960,1683484691.907265607,/drive.drive.speed,3.5
4.286899786,1683484691.959894399,1683484691.957885479,/drive.drive.speed,3.5
4.341887712,1683484692.014882325,1683484692.009190385,/drive.drive.speed,3.5
4.38933987,1683484692.062334483,1683484692.060600222,/drive.drive.speed,3.5
4.441126928,1683484692.114121541,1683484692.112319599,/drive.drive.speed,3.5
4.492829921,1683484692.165824534,1683484692.163739069,/drive.drive.speed,3.5
4.54402254,1683484692.217017153,1683484692.215158058,/drive.drive.speed,6.5
4.595497082,1683484692.268491695,1683484692.266623384,/drive.drive.speed,6.5
4.647603664,1683484692.320598277,1683484692.318271529,/drive.drive.speed,6.5
4.698814459,1683484692.371809072,1683484692.369475124,/drive.drive.speed,6.5
4.750599949,1683484692.423594562,1683484692.420966274,/drive.drive.speed,6.5
4.8013362100000005,1683484692.474330823,1683484692.472617458,/drive.drive.speed,6.5
4.853048931,1683484692.526043544,1683484692.524114049,/drive.drive.speed,6.5
4.905320443,1683484692.578315056,1683484692.575559343,/drive.drive.speed,6.5
4.956061472,1683484692.629056085,1683484692.627138846,/drive.drive.speed,6.5
5.00748667,1683484692.680481283,1683484692.678640525,/drive.drive.speed,6.5
5.05927568,1683484692.732270293,1683484692.730329437,/drive.drive.speed,6.5
5.112127071,1683484692.785121684,1683484692.781902925,/drive.drive.speed,6.5
5.162556416,1683484692.835551029,1683484692.833544477,/drive.drive.speed,6.5
5.215070203,1683484692.888064816,1683484692.884916298,/drive.drive.speed,6.5
5.266693067,1683484692.939687680,1683484692.936702748,/drive.drive.speed,6.5
5.316257538,1683484692.989252151,1683484692.987785285,/drive.drive.speed,6.5
5.36833561,1683484693.041330223,1683484693.038889809,/drive.drive.speed,6.5
5.418795071,1683484693.091789684,1683484693.089907453,/drive.drive.speed,6.5
5.471144795,1683484693.144139408,1683484693.141971414,/drive.drive.speed,6.5
5.522635565,1683484693.195630178,1683484693.193529032,/drive.drive.speed,6.5
5.574313633,1683484693.247308246,1683484693.244945593,/drive.drive.speed,6.5
5.62690352,1683484693.299898133,1683484693.296635757,/drive.drive.speed,6.5
5.677462918,1683484693.350457531,1683484693.348424066,/drive.drive.speed,6.5
5.6968297450000005,1683484693.369824358,0.000000000,/drive.drive.speed,-21.491233825683594
5.718708859,1683484693.391703472,0.000000000,/drive.drive.speed,-19.938976287841797
5.742262329,1683484693.415256942,0.000000000,/drive.drive.speed,-18.351787567138672
5.762705586,1683484693.435700199,0.000000000,/drive.drive.speed,-16.2376651763916
5.781791098,1683484693.454785711,0.000000000,/drive.drive.speed,-14.596318244934082
5.802228498,1683484693.475223111,0.000000000,/drive.drive.speed,-12.775431632995605
5.813337081,1683484693.486331694,0.000000000,/drive.drive.speed,-10.348517417907715
5.838025733,1683484693.511020346,0.000000000,/drive.drive.speed,-8.535344123840332
5.858115769,1683484693.531110382,0.000000000,/drive.drive.speed,-6.545891761779785
5.878237358,1683484693.551231971,0.000000000,/drive.drive.speed,-3.800821304321289
5.902047887,1683484693.575042500,0.000000000,/drive.drive.speed,-1.8788540363311768
