elapsed time,receive time,header.stamp,topic,value
5.725276607,1683148596.797064449,,/pitch_error.data,-0.5685781240463258
5.743290631,1683148596.815078473,,/pitch_error.data,-0.5591925382614136
5.764033684,1683148596.835821526,,/pitch_error.data,-0.5600829124450684
5.781302394,1683148596.853090236,,/pitch_error.data,-0.5423484444618225
5.803786027,1683148596.875573869,,/pitch_error.data,-0.5106168985366821
5.821377073,1683148596.893164915,,/pitch_error.data,-0.4578675329685211
5.842630079,1683148596.914417921,,/pitch_error.data,-0.4037918448448181
5.861823881,1683148596.933611723,,/pitch_error.data,-0.3526969850063324
5.880826131,1683148596.952613973,,/pitch_error.data,-0.27942273020744324
5.904282726,1683148596.976070568,,/pitch_error.data,-0.2215828150510788
5.925370676,1683148596.997158518,,/pitch_error.data,-0.16717542707920077
5.939454707,1683148597.011242549,,/pitch_error.data,-0.09928908199071884
5.96011312,1683148597.031900962,,/pitch_error.data,-0.04967270419001579
5.983668371,1683148597.055456213,,/pitch_error.data,-0.0011837432393804193
6.005678115,1683148597.077465957,,/pitch_error.data,0.05941224470734596
6.022068295,1683148597.093856137,,/pitch_error.data,0.10014735162258148
6.036369222,1683148597.108157064,,/pitch_error.data,0.1533874422311783
6.064344387,1683148597.136132229,,/pitch_error.data,0.20245197415351868
6.084329615,1683148597.156117457,,/pitch_error.data,0.2583546042442322
6.103608761,1683148597.175396603,,/pitch_error.data,0.30560487508773804
6.128432783,1683148597.200220625,,/pitch_error.data,0.3432106077671051
6.143601104,1683148597.215388946,,/pitch_error.data,0.4080929756164551
