elapsed time,receive time,header.stamp,topic,value
5.658779583,1683148697.932953563,,/pitch_error.data,-0.49808263778686523
5.659069119,1683148697.933243099,,/pitch_error.data,-0.4951712191104889
5.659284352,1683148697.933458332,,/pitch_error.data,-0.5286627411842346
5.65950624,1683148697.933680220,,/pitch_error.data,-0.5231146812438965
5.67378803,1683148697.947962010,,/pitch_error.data,-0.4917152225971222
5.6935123910000005,1683148697.967686371,,/pitch_error.data,-0.46018290519714355
5.718498042,1683148697.992672022,,/pitch_error.data,-0.4281030297279358
5.73841194,1683148698.012585920,,/pitch_error.data,-0.3886680006980896
5.756750666,1683148698.030924646,,/pitch_error.data,-0.34015458822250366
5.777437525,1683148698.051611505,,/pitch_error.data,-0.3022620975971222
5.794790456,1683148698.068964436,,/pitch_error.data,-0.25868114829063416
5.813165695,1683148698.087339675,,/pitch_error.data,-0.20348010957241058
5.837671057,1683148698.111845037,,/pitch_error.data,-0.1676318347454071
5.854172211,1683148698.128346191,,/pitch_error.data,-0.1292933076620102
5.873185563,1683148698.147359543,,/pitch_error.data,-0.07951113581657408
